Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FrameworkSuite,Chrome 70.0.3538.102,,2018-11-24 11:55:43,2018-11-24 11:58:11,2m - 27.825s,PASSED
,,,,,,
Test Cases/Framework/CollectionsMap,Chrome 70.0.3538.102,,2018-11-24 11:55:44,2018-11-24 11:56:02,17.979s,PASSED
Statement - TestCase = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Data Files/Framework/TestCase),Chrome 70.0.3538.102,,2018-11-24 11:55:44,2018-11-24 11:55:45,1.169s,PASSED
Statement - Configuration = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Data Files/Framework/Configuration),Chrome 70.0.3538.102,,2018-11-24 11:55:45,2018-11-24 11:55:45,0.184s,PASSED
Statement - Testcase_numbers_index = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:45,2018-11-24 11:55:45,0.002s,PASSED
Statement - Testcase_numbers_values = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:45,2018-11-24 11:55:46,0.004s,PASSED
Statement - config_numbers_values = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.002s,PASSED
Statement - config_numbers_index = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.002s,PASSED
Statement - testcase_index = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.003s,PASSED
Statement - testcase_value = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.003s,PASSED
Statement - config_useraction_values = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.011s,PASSED
Statement - config_useraction_index = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.004s,PASSED
Statement - hmap = new java.util.TreeMap(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.013s,PASSED
Statement - hmapuserAction = new java.util.TreeMap(),Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:46,0.001s,PASSED
"Statement - For ([getTestCaseData = 1, getTestCaseData <= TestCase.getRowNumbers(), (getTestCaseData++)])",Chrome 70.0.3538.102,,2018-11-24 11:55:46,2018-11-24 11:55:53,7.217s,PASSED
"Statement - While (hmap.values().remove("""") || hmap.values().remove(null))",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.007s,PASSED
Statement - mappinghmap = hmap.entrySet(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - mappinghmapusrAct = hmapuserAction.entrySet(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - println(Set of Keys and Values using entrySet() : $mappinghmap),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.018s,PASSED
"Statement - For (Map$Entry<Integer, String> entries : mappinghmap)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.089s,PASSED
"Statement - For (Map$Entry<Integer, String> entriesuseract : mappinghmapusrAct)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.076s,PASSED
"Statement - out.println(""Last numbers_values : "" + Testcase_numbers_values)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.008s,PASSED
"Statement - out.println(""Last numbers_index : "" + Testcase_numbers_index)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
"Statement - out.println(""Last numbers_values : "" + testcase_value)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
"Statement - out.println(""Last numbers_index : "" + testcase_index)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
"Statement - out.println(""hmap : "" + hmap)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
"Statement - out.println(""hmapuserAction : "" + hmapuserAction)",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - sizeCountValue = Testcase_numbers_values.size(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - sizeCountIndex = Testcase_numbers_index.size(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - testcasesizeCountValue = testcase_value.size(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - testcasesizeCountIndex = testcase_index.size(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - println(sizeCountValue :$sizeCountValue),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - println(sizeCountIndex :$sizeCountIndex),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.001s,PASSED
Statement - println(testcasesizeCountValue :$testcasesizeCountValue),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - println(testcasesizeCountIndex :$testcasesizeCountIndex),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - hmapconfig = new java.util.TreeMap(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
Statement - hmapconfiguserAction = new java.util.TreeMap(),Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:55:53,0.000s,PASSED
"Statement - For ([getConfigData = 1, getConfigData <= Configuration.getRowNumbers(), (getConfigData++)])",Chrome 70.0.3538.102,,2018-11-24 11:55:53,2018-11-24 11:56:01,8.498s,PASSED
"Statement - While (hmapconfig.values().remove("""") || hmapconfig.values().remove(null))",Chrome 70.0.3538.102,,2018-11-24 11:56:01,2018-11-24 11:56:01,0.000s,PASSED
Statement - mappingconfighmap = hmapconfig.entrySet(),Chrome 70.0.3538.102,,2018-11-24 11:56:01,2018-11-24 11:56:01,0.000s,PASSED
Statement - mappingconfusracthmap = hmapconfiguserAction.entrySet(),Chrome 70.0.3538.102,,2018-11-24 11:56:01,2018-11-24 11:56:01,0.000s,PASSED
Statement - println(Set of Keys and Values using entrySet() : $mappingconfighmap),Chrome 70.0.3538.102,,2018-11-24 11:56:01,2018-11-24 11:56:01,0.000s,PASSED
"Statement - For (Map$Entry<Integer, String> mappingentries : mappingconfighmap)",Chrome 70.0.3538.102,,2018-11-24 11:56:01,2018-11-24 11:56:02,0.003s,PASSED
"Statement - For (Map$Entry<Integer, String> mappingusractentries : mappingconfusracthmap)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.005s,PASSED
"Statement - out.println(""GlobalVariable.config_numbers_value : "" + config_numbers_values)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.001s,PASSED
"Statement - out.println(""config_numbers_index : "" + config_numbers_index)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.001s,PASSED
"Statement - out.println(""config_useraction_values : "" + config_useraction_values)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.001s,PASSED
"Statement - out.println(""config_useraction_index : "" + config_useraction_index)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.000s,PASSED
"Statement - out.println(""hmapconfig : "" + hmapconfig)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.001s,PASSED
"Statement - out.println(""hmapconfiguserAction : "" + hmapconfiguserAction)",Chrome 70.0.3538.102,,2018-11-24 11:56:02,2018-11-24 11:56:02,0.000s,PASSED
